MRGID,ELEVCLASSMIN,ELEVCLASSMAX,deepsea_area,deepsea_area_km2,eez_v11_GEONAME,eez_v11_MRGID_TER1,eez_v11_POL_TYPE,eez_v11_MRGID_SOV1,eez_v11_TERRITORY1,eez_v11_ISO_TER1,eez_v11_SOVEREIGN1,eez_v11_MRGID_TER2,eez_v11_MRGID_SOV2,eez_v11_TERRITORY2,eez_v11_ISO_TER2,eez_v11_SOVEREIGN2,eez_v11_MRGID_TER3,eez_v11_MRGID_SOV3,eez_v11_TERRITORY3,eez_v11_ISO_TER3,eez_v11_SOVEREIGN3,eez_v11_X_1,eez_v11_Y_1,eez_v11_MRGID_EEZ,eez_v11_AREA_KM2,eez_v11_ISO_SOV1,eez_v11_ISO_SOV2,eez_v11_ISO_SOV3,eez_v11_UN_SOV1,eez_v11_UN_SOV2,eez_v11_UN_SOV3,eez_v11_UN_TER1,eez_v11_UN_TER2,eez_v11_UN_TER3
"8322",0.5,1.5,1710956960636.09,"1710957",Philippines Exclusive Economic Zone,2245,200NM,2245,Philippines,PHL,Philippines,0,0,,,,0,0,,,,122.15314,12.24500,8322,1971033,PHL,,,"608",,,"608",,
"8323",0.5,1.5,4744757459529.23,"4744757",Australian Exclusive Economic Zone,2147,200NM,2147,Australia,AUS,Australia,0,0,,,,0,0,,,,138.08226,-27.36726,8323,6871622,AUS,,,"36",,,"36",,
"8324",0.5,1.5,2226791235233.65,"2226791",Papua New Guinean Exclusive Economic Zone,2237,200NM,2237,Papua New Guinea,PNG,Papua New Guinea,0,0,,,,0,0,,,,150.71774,-5.46159,8324,2399638,PNG,,,"598",,,"598",,
"8325",0.5,1.5,1245090193516.76,"1245090",Fijian Exclusive Economic Zone,2108,200NM,2108,Fiji,FJI,Fiji,0,0,,,,0,0,,,,95.36388,-17.98795,8325,1289978,FJI,,,"242",,,"242",,
"8326",0.5,1.5,749090814070.254,"749091",Tuvaluan Exclusive Economic Zone,2210,200NM,2210,Tuvalu,TUV,Tuvalu,0,0,,,,0,0,,,,74.28785,-7.81254,8326,753133,TUV,,,"798",,,"798",,
"8327",0.5,1.5,115668364822.825,"115668",South Korean Exclusive Economic Zone,8600,200NM,8600,South Korea,KOR,South Korea,0,0,,,,0,0,,,,127.57712,35.74071,8327,347671,KOR,,,"410",,,"410",,
"8328",0.5,1.5,77170514669.2547,"77171",North Korean Exclusive Economic Zone,8601,200NM,8601,North Korea,PRK,North Korea,0,0,,,,0,0,,,,128.99535,39.82785,8328,114379,PRK,,,"408",,,"408",,
"8332",0.5,1.5,67919833493.8737,"67920",Thailand Exclusive Economic Zone,2207,200NM,2207,Thailand,THA,Thailand,0,0,,,,0,0,,,,99.62868,9.16617,8332,298683,THA,,,"764",,,"764",,
"8333",0.5,1.5,635258132862.09,"635258",Indian Exclusive Economic Zone (Andaman and Nicobar Islands),8605,200NM,2128,Andaman and Nicobar,,India,0,0,,,,0,0,,,,92.18967,9.97738,8333,664448,IND,,,"356",,,,,
"8334",0.5,1.5,163193647155.275,"163194",Comoran Exclusive Economic Zone,2163,200NM,2163,Comores,COM,Comores,0,0,,,,0,0,,,,43.45423,-11.42314,8334,164476,COM,,,"174","0","0","174","0","0"
"8337",0.5,1.5,1291375891484.1,"1291376",Seychellois Exclusive Economic Zone,2192,200NM,2192,Seychelles,SYC,Seychelles,0,0,,,,0,0,,,,52.46886,-6.54776,8337,1341504,SYC,,,"690",,,"690",,
"8338",0.5,1.5,314848445821.691,"314848",Réunion Exclusive Economic Zone,8609,200NM,17,Réunion,REU,France,0,0,,,,0,0,,,,54.71328,-21.78197,8338,315151,FRA,,,"250",,,"638",,
"8339",0.5,1.5,61915907939.6502,"61916",Juan de Nova Exclusive Economic Zone,8610,200NM,17,Juan de Nova Island,ATF,France,0,0,,,,0,0,,,,42.09428,-17.30663,8339,62775,FRA,,,"250",,,"260",,
"8340",0.5,1.5,120678791903.387,"120679",Bassas da India Exclusive Economic Zone,31136,200NM,17,Bassas da India,ATF,France,0,0,,,,0,0,,,,39.42518,-20.86054,8340,120706,FRA,,,"250",,,"260",,
"8341",0.5,1.5,127938853161.057,"127939",Ile Europa Exclusive Economic Zone,8612,200NM,17,Europa Island,ATF,France,0,0,,,,0,0,,,,40.10928,-23.53682,8341,127936,FRA,,,"250",,,"260",,
"8343",0.5,1.5,1239023251390.63,"1239023",Mauritian Exclusive Economic Zone,8614,200NM,8614,Republic of Mauritius,MUS,Republic of Mauritius,0,0,,,,0,0,,,,60.11720,-16.81021,8343,1278182,MUS,,,"480",,,"480",,
"8345",0.5,1.5,892249093651.985,"892249",Maldives Exclusive Economic Zone,2229,200NM,2229,Maldives,MDV,Maldives,0,0,,,,0,0,,,,73.08337,2.48241,8345,920739,MDV,,,"462",,,"462",,
"8346",0.5,1.5,501610577522.525,"501611",Sri Lankan Exclusive Economic Zone,2195,200NM,2195,Sri Lanka,LKA,Sri Lanka,0,0,,,,0,0,,,,81.63607,6.54638,8346,533559,LKA,,,"144",,,"144",,
"8347",0.5,1.5,481683506089.17,"481684",Mozambican Exclusive Economic Zone,2220,200NM,2220,Mozambique,MOZ,Mozambique,0,0,,,,0,0,,,,37.95740,-20.37062,8347,566292,MOZ,,,"508",,,"508",,
"8348",0.5,1.5,1075207787428.05,"1075208",Madagascan Exclusive Economic Zone,7963,200NM,7963,Madagascar,MDG,Madagascar,0,0,,,,0,0,,,,47.25395,-20.91335,8348,1196285,MDG,,,"450",,,"450",,
"8349",0.5,1.5,105468434178.318,"105468",Kenyan Exclusive Economic Zone,2118,200NM,2118,Kenya,KEN,Kenya,0,0,,,,0,0,,,,41.79278,-3.53678,8349,113833,KEN,,,"404",,,"404",,
"8350",0.5,1.5,733070428165.058,"733070",Somali Exclusive Economic Zone,2187,200NM,2187,Federal Republic of Somalia,SOM,Federal Republic of Somalia,0,0,,,,0,0,,,,48.71860,5.38252,8350,781843,SOM,,,"706",,,"706",,
"8351",0.5,1.5,17509205803.3754,"17509",Eritrean Exclusive Economic Zone,2111,200NM,2111,Eritrea,ERI,Eritrea,0,0,,,,0,0,,,,40.59255,15.82346,8351,78110,ERI,,,"232",,,"232",,
"8352",0.5,1.5,4912151532.5427,"4912",Djiboutian Exclusive Economic Zone,2131,200NM,2131,Djibouti,DJI,Djibouti,0,0,,,,0,0,,,,43.43296,11.99710,8352,7223,DJI,,,"262",,,"262",,
"8353",0.5,1.5,474070335198.707,"474070",Yemeni Exclusive Economic Zone,2199,200NM,2199,Yemen,YEM,Yemen,0,0,,,,0,0,,,,52.06161,12.88906,8353,527384,YEM,,,"887",,,"887",,
"8354",0.5,1.5,502923525660.404,"502924",Omani Exclusive Economic Zone,2251,200NM,2251,Oman,OMN,Oman,0,0,,,,0,0,,,,58.66998,18.94915,8354,556490,OMN,,,"512",,,"512",,
"8355",0.5,1.5,49056555537.6156,"49057",Sudanese Exclusive Economic Zone,2183,200NM,2183,Sudan,SDN,Sudan,0,0,,,,0,0,,,,38.14367,19.74792,8355,62826,SDN,,,"729",,,"729",,
"8356",0.5,1.5,126379284506.469,"126379",Saudi Arabian Exclusive Economic Zone,2215,200NM,2215,Saudi Arabia,SAU,Saudi Arabia,0,0,,,,0,0,,,,40.48580,22.45463,8356,224219,SAU,,,"682",,,"682",,
"8359",0.5,1.5,174370289654.394,"174370",Pakistani Exclusive Economic Zone,2250,200NM,2250,Pakistan,PAK,Pakistan,0,0,,,,0,0,,,,64.71198,23.53952,8359,224374,PAK,,,"586",,,"586",,
"8360",0.5,1.5,1005947157.93301,"1006",United Arab Emirates Exclusive Economic Zone,2206,200NM,2206,United Arab Emirates,ARE,United Arab Emirates,0,0,,,,0,0,,,,53.89303,24.94396,8360,51674,ARE,,,"784",,,"784",,
"8361",0.5,1.5,958284207650.952,"958284",Portuguese Exclusive Economic Zone (Azores),2454,200NM,2243,Azores,,Portugal,0,0,,,,0,0,,,,-27.97601,38.47538,8361,960421,PRT,,,"620",,,,,
"8362",0.5,1.5,797027842195.658,"797028",Cape Verdean Exclusive Economic Zone,2168,200NM,2168,Cape Verde,CPV,Cape Verde,0,0,,,,0,0,,,,-24.17164,16.09190,8362,801936,CPV,,,"132",,,"132",,
"8363",0.5,1.5,451714376458.391,"451714",Portuguese Exclusive Economic Zone (Madeira),4956,200NM,2243,Madeira,,Portugal,0,0,,,,0,0,,,,-16.81091,33.17302,8363,452796,PRT,,,"620",,,,,
"8364",0.5,1.5,440155101877.961,"440155",Spanish Exclusive Economic Zone (Canary Islands),3743,200NM,2185,Canary Islands,,Spain,0,0,,,,0,0,,,,-17.61396,28.36715,8364,445910,ESP,,,"724",,,,,
"8365",0.5,1.5,345736514.677109,"346",Overlapping claim Gibraltarian Exclusive Economic Zone,3344,Overlapping claim,2208,Gibraltar,GIB,United Kingdom,2185,2185,Spain,ESP,Spain,0,0,,,,-5.21961,36.08832,8365,388,GIB,ESP,,"826","724",,"292","724",
"8366",0.5,1.5,32947189733.2157,"32947",Tunisian Exclusive Economic Zone,2214,200NM,2214,Tunisia,TUN,Tunisia,0,0,,,,0,0,,,,11.05319,36.00133,8366,99701,TUN,,,"788",,,"788",,
"8367",0.5,1.5,220443491222.665,"220443",Moroccan Exclusive Economic Zone,2221,200NM,2221,Morocco,MAR,Morocco,0,0,,,,0,0,,,,-9.85201,32.78135,8367,280452,MAR,,,"504",,,"504",,
"8368",0.5,1.5,222382584741.474,"222383",Overlapping claim Western Saharan Exclusive Economic Zone,8617,Overlapping claim,8617,Western Sahara,ESH,Western Sahara,8617,2221,Western Sahara,ESH,Morocco,0,0,,,,-17.69542,23.34236,8368,284054,ESH,MAR,,"732","504",,"732","732",
"8369",0.5,1.5,138505208517.068,"138505",Mauritanian Exclusive Economic Zone,2236,200NM,2236,Mauritania,MRT,Mauritania,0,0,,,,0,0,,,,-17.91755,18.24852,8369,173180,MRT,,,"478",,,"478",,
"8370",0.5,1.5,17076753351.4896,"17077",Gambian Exclusive Economic Zone,2113,200NM,2113,Gambia,GMB,Gambia,0,0,,,,0,0,,,,-18.38751,13.32867,8370,23097,GMB,,,"270",,,"270",,
"8371",0.5,1.5,133959748933.822,"133960",Senegalese Exclusive Economic Zone,2225,200NM,2225,Senegal,SEN,Senegal,0,0,,,,0,0,,,,-18.50357,13.69463,8371,158358,SEN,,,"686",,,"686",,
"8372",0.5,1.5,298161576490.834,"298162",Libyan Exclusive Economic Zone,2194,200NM,2194,Libya,LBY,Libya,0,0,,,,0,0,,,,18.49934,33.14300,8372,364524,LBY,,,"434",,,"434",,
"8373",0.5,1.5,9270983208.01373,"9271",Syrian Exclusive Economic Zone,3384,200NM,3384,Syria,SYR,Syria,0,0,,,,0,0,,,,35.49624,35.32871,8373,10269,SYR,,,"760",,,"760",,
"8374",0.5,1.5,18941494321.4883,"18941",Lebanese Exclusive Economic Zone,2098,200NM,2098,Lebanon,LBN,Lebanon,0,0,,,,0,0,,,,34.90392,33.90942,8374,20184,LBN,,,"422",,,"422",,
"8375",0.5,1.5,21678920868.3109,"21679",Israeli Exclusive Economic Zone,2123,200NM,2123,Israel,ISR,Israel,0,0,,,,0,0,,,,34.08805,32.57437,8375,24628,ISR,,,"376",,,"376",,
"8376",0.5,1.5,95632856075.3317,"95633",Cypriote Exclusive Economic Zone,2159,200NM,2159,Cyprus,CYP,Cyprus,0,0,,,,0,0,,,,32.63526,34.48929,8376,98450,CYP,,,"196",,,"196",,
"8378",0.5,1.5,121308141451.776,"121308",Algerian Exclusive Economic Zone,2152,200NM,2152,Algeria,DZA,Algeria,0,0,,,,0,0,,,,3.53979,37.20344,8378,131193,DZA,,,"12",,,"12",,
"8379",0.5,1.5,445912028517.752,"445912",Ascension Exclusive Economic Zone,8620,200NM,2208,Ascension,SHN,United Kingdom,0,0,,,,0,0,,,,-14.36337,-7.94747,8379,446005,GBR,,,"826",,,"654",,
"8380",0.5,1.5,448585073704.855,"448585",St. Helena Exclusive Economic Zone,8619,200NM,2208,Saint Helena,SHN,United Kingdom,0,0,,,,0,0,,,,-5.70869,-15.97278,8380,449215,GBR,,,"826",,,"654",,
"8381",0.5,1.5,472438062239.521,"472438",Brazilian Exclusive Economic Zone (Trindade),8622,200NM,2143,Trindade,,Brazil,0,0,,,,0,0,,,,-29.09644,-20.50277,8381,472481,BRA,,,"76",,,,,
"8382",0.5,1.5,756855788319.021,"756856",Tristan Da Cunha Exclusive Economic Zone,8621,200NM,2208,Tristan da Cunha,SHN,United Kingdom,0,0,,,,0,0,,,,-11.20987,-38.76190,8382,758168,GBR,,,"826",,,"654",,
