id_num,zone_name,zone_type,total_area,deepsea_area_km2,frac_deepsea,name_territory,name_sov,iso3_territory,iso3_sov
8343,Mauritian Exclusive Economic Zone,200NM,1278182,1239023.2513906334,0.9693637145497538,Republic of Mauritius,Republic of Mauritius,MUS,MUS
8338,Réunion Exclusive Economic Zone,200NM,315151,314848.44582169066,0.9990399707495475,Réunion,France,REU,FRA
8313,Vanuatu Exclusive Economic Zone,200NM,623424,615238.0871557387,0.986869429402363,Vanuatu,Vanuatu,VUT,VUT
8395,Namibian Exclusive Economic Zone,200NM,562212,468966.7012513052,0.8341456625815621,Namibia,Namibia,"NAM","NAM"
8394,Congolese Exclusive Economic Zone,200NM,33807,25611.742364131394,0.7575869602192267,Republic of the Congo,Republic of the Congo,COG,COG
8478,Angolan Exclusive Economic Zone,200NM,495866,444740.34643295757,0.8968962309030213,Angola,Angola,AGO,AGO
8347,Mozambican Exclusive Economic Zone,200NM,566292,481683.5060891701,0.8505921081159016,Mozambique,Mozambique,MOZ,MOZ
8349,Kenyan Exclusive Economic Zone,200NM,113833,105468.43417831822,0.9265189723394641,Kenya,Kenya,KEN,KEN
21798,Protected Zone established under the Torres Strait Treaty,Joint regime,3717,0,0,Papua New Guinea,Papua New Guinea,PNG,PNG
21798,Protected Zone established under the Torres Strait Treaty,Joint regime,3717,0,0,Australia,Australia,AUS,AUS
8479,Tanzanian Exclusive Economic Zone,200NM,241567,222557.161885593,0.921306146475276,Tanzania,Tanzania,TZA,TZA
8314,Solomon Islands Exclusive Economic Zone,200NM,1605325,1574562.1696058002,0.9808370078369179,Solomon Islands,Solomon Islands,SLB,SLB
8337,Seychellois Exclusive Economic Zone,200NM,1341504,1291375.891484103,0.9626329041762849,Seychelles,Seychelles,SYC,SYC
48945,Overlapping claim Glorioso Islands: France / Madagascar,Overlapping claim,43506,42669.12322048295,0.9807641065711155,Glorioso Islands,France,ATF,FRA
8341,Ile Europa Exclusive Economic Zone,200NM,127936,127938.85316105685,1.0000223014714924,Europa Island,France,ATF,FRA
8477,Democratic Republic of the Congo Exclusive Economic Zone,200NM,13373,10613.672322165745,0.7936642729504034,Democratic Republic of the Congo,Democratic Republic of the Congo,COD,COD
8323,Australian Exclusive Economic Zone,200NM,6871622,4744757.459529229,0.6904858066304039,Australia,Australia,AUS,AUS
8339,Juan de Nova Exclusive Economic Zone,200NM,62775,61915.907939650235,0.9863147421688607,Juan de Nova Island,France,ATF,FRA
8340,Bassas da India Exclusive Economic Zone,200NM,120706,120678.79190338672,0.9997745920118861,Bassas da India,France,ATF,FRA
33176,Overlapping claim: Kenya / Somalia,Overlapping claim,50229,50206.72162630159,0.9995564639212723,Kenya,Kenya,KEN,KEN
33176,Overlapping claim: Kenya / Somalia,Overlapping claim,50229,50206.72162630159,0.9995564639212723,Federal Republic of Somalia,Federal Republic of Somalia,SOM,SOM
8758,East Timorian Exclusive Economic Zone,200NM,75647,48480.613004889135,0.640879519411069,East Timor,East Timor,TLS,TLS
8412,Anguilla Exclusive Economic Zone,200NM,90164,88006.90337770818,0.9760758548612326,Anguilla,United Kingdom,AIA,GBR
8414,Antigua and Barbuda Exclusive Economic Zone,200NM,111568,107652.49155616891,0.9649047357321895,Antigua and Barbuda,Antigua and Barbuda,ATG,ATG
26519,Aruban Exclusive Economic Zone,200NM,30015,28299.14060958288,0.9428332703509205,Aruba,Netherlands,ABW,NLD
8404,Bahamas Exclusive Economic Zone,200NM,619785,498859.8017376426,0.804891699117666,Bahamas,Bahamas,BHS,BHS
8418,Barbados Exclusive Economic Zone,200NM,185007,184678.70145168304,0.9982254803963257,Barbados,Barbados,BRB,BRB
8429,Mexican Exclusive Economic Zone,200NM,3187013,2770878.062930008,0.8694279135133769,Mexico,Mexico,MEX,MEX
26520,Bonaire Exclusive Economic Zone,200NM,13005,12919.52119187098,0.9934272350535163,Bonaire,Netherlands,BES,NLD
8411,British Virgin Islands Exclusive Economic Zone,200NM,81555,78559.76405318611,0.96327342349563,British Virgin Islands,United Kingdom,VGB,GBR
8362,Cape Verdean Exclusive Economic Zone,200NM,801936,797027.8421956575,0.993879614078502,Cape Verde,Cape Verde,CPV,CPV
8407,Cayman Islands Exclusive Economic Zone,200NM,118291,117835.50162869837,0.9961493404290975,Cayman Islands,United Kingdom,CYM,GBR
8423,Panamanian Exclusive Economic Zone,200NM,331318,280132.7587328707,0.8455102310555741,Panama,Panama,PAN,PAN
8424,Costa Rican Exclusive Economic Zone,200NM,581726,563346.7439750431,0.9684056479769566,Costa Rica,Costa Rica,CRI,CRI
26517,Curaçaoan Exclusive Economic Zone,200NM,25401,25241.319678220938,0.9937136206535545,Curaçao,Netherlands,CUW,NLD
8417,Dominican Exclusive Economic Zone,200NM,28552,28146.935905546532,0.9858131096086625,Dominica,Dominica,DMA,DMA
8409,Dominican Republic Exclusive Economic Zone,200NM,350694,339168.13152422744,0.9671341155657851,Dominican Republic,Dominican Republic,DOM,DOM
8430,Guatemalan Exclusive Economic Zone,200NM,110695,95388.45165410754,0.8617232183396498,Guatemala,Guatemala,GTM,GTM
8435,Faeroe Exclusive Economic Zone,200NM,265632,238986.80191598905,0.8996913094656858,Faeroe,Denmark,FRO,DNK
8370,Gambian Exclusive Economic Zone,200NM,23097,17076.753351489642,0.739349411243436,Gambia,Gambia,GMB,GMB
8365,Overlapping claim Gibraltarian Exclusive Economic Zone,Overlapping claim,388,345.7365146771095,0.8910734914358491,Gibraltar,United Kingdom,GIB,GIB
8365,Overlapping claim Gibraltarian Exclusive Economic Zone,Overlapping claim,388,345.7365146771095,0.8910734914358491,Spain,Spain,ESP,ESP
8419,Grenadian Exclusive Economic Zone,200NM,25571,23145.830620033183,0.9051593844602551,Grenada,Grenada,GRD,GRD
33177,Guadeloupean Exclusive Economic Zone,200NM,90705,88885.74412397484,0.9799431577528785,Guadeloupe,France,GLP,FRA
8390,Sierra Leonian Exclusive Economic Zone,200NM,160584,133148.6568004883,0.8291526976566053,Sierra Leone,Sierra Leone,SLE,SLE
5680,Icelandic Exclusive Economic Zone,200NM,763239,650523.7105767519,0.8523197983551049,Iceland,Iceland,ISL,ISL
8459,Jamaican Exclusive Economic Zone,200NM,256909,243219.9701545236,0.9467164254834342,Jamaica,Jamaica,JAM,JAM
8369,Mauritanian Exclusive Economic Zone,200NM,173180,138505.2085170676,0.799776004833512,Mauritania,Mauritania,MRT,MRT
8415,Montserrat Exclusive Economic Zone,200NM,7188,7065.732356970989,0.9829900329675834,Montserrat,United Kingdom,MSR,GBR
